member_casual,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
casual,41.44,37.0,34.42,33.34,33.95,35.7,39.8
member,17.52,14.82,14.71,14.81,14.9,15.43,17.44
